tweet,paragraph,label,predicted_label,language,correct_prediction,tweet_length,paragraph_length
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,私たちのクラスには、他の生徒ほど頭が良くない生徒が一人いますが、それでも彼は、昼も夜も懸命に努力することで、試験でなんとか1位になり、彼よりも才能のある生徒たちを上回っています。クリスティアーノ・ロナウドも彼らと同じだ。彼に才能がないとは言いませんが、才能よりも努力家です。,0,1,ja,False,37,137
Newt Gingrich is demented; Cawthorn a mindless apostle.,"I did not enjoy any of the experiences. I found him to be full of himself. He did a great job of being “a man of the people” while others were watching. Otherwise, in more private moments, he put himself above others.",0,1,en,False,55,217
ビル・コスビーは性犯罪者です（笑）,金曜日、コスビーの公式ツイッターアカウントは、メディアの報道がこのコメディアンに対する世論を揺るがすために彼の有罪判決の事実を操作しているとのメッセージを投稿した。コスビー氏に対する世論を操作しようとしている。」,1,0,ja,False,17,106
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,ロナウドはまた、ピッチ上での並外れたパフォーマンスで得たお金を惜しみなく放棄した。,1,0,ja,False,37,41
Pero Sandra Bullock es mala actuando como idiotas estúpidos y tontos.,"Desde que aterrizó por primera vez en Hollywood, Sandra Bullock siempre ha tenido el doblaje de ""America's Sweetheart"". Con un corazón de oro que es tan brillante como el Oscar en su manto, Bullock no solo se ganó ese apodo por ser una buena persona, sino que, específicamente, lo obtuvo gracias a la gente que la diseñó.",0,1,es,False,69,321
I fucking hate Cristiano Ronaldo. He's so full of shit..,Ronaldo hugging Sir Alex Ferguson. Cristiano Ronaldo has throughout his career maintained that Sir Alex was like his father in football. His dad passed away when he was only 21 and Alex Ferguson has taken on that role ever since. Cristiano Ronaldo to this day reclines towards Sir Alex Ferguson whenever he needs advice.,0,1,en,False,56,320
I fucking hate Cristiano Ronaldo. He's so full of shit..,"After suffering a relapse in October last year, Tomas' parents appealed to try and get funding for their brave child's operations.",0,1,en,False,56,130
"タッカー・カールソンは泣き言を言う女です
🤣🤣",彼は無知で怒り、憎しみに満ちた人々に彼らが聞きたいことを伝えて何百万もの金を稼いでいる。,0,1,ja,False,23,44
But Sandra Bullock is bad at acting you dumb stupid idiots,"Indeed, when Bullock has a script that lives up to her performing skills, she shines. She won an Academy Award for her turn in “The Blind Side” (2009) and received a best actress nomination for her essentially-one-woman-show role in “Gravity” (2013). There’s a reason that she’s the second-most bankable actress working, according to a metric developed by box office analytics site The Numbers.",0,1,en,False,58,394
黙ってろ!!ロナウドの方が断然上手い 見ざる猿 メッシは利己的でクソ頭,「いいえ、まったく違います。メッシのような選手が利己的な選手だとは思いません」とコンテ監督は語った。,1,0,ja,False,35,50
ニュート・ギングリッチは認知症です。コーソーンは無知な使徒。,ピケは、ベルゴリオがキルチネル家にとって都合の良い引き立て役になったと述べ、「本当の敵対者がいなかったので、話し合う敵がいることは彼らにとって有益だった」と語った。ピケの朗読の中で、クリスティーナ・キルチナーは、人気のある同性婚の取り組みをくさびの問題として巧みに取り上げました。ベルゴリオは舞台裏で市民組合を巻き込んだ妥協案を推し進めたが、保守的な司教たちの支持を得ることができなかった。同性婚を「神の法の完全な拒否」と表現した同氏の私信が流出し、ヴァレリー氏のイメージは傷ついたが、保守派の支持を得るための戦略的手段としてその手紙を書いたとヴァレリー氏は主張している。ブエノスアイレスの同性愛者の権利指導者、マルセロ・マルケスはベルゴリオに怒りの手紙を届け、1時間後に電話を受けた。 「彼は私の意見にとても敬意を持って耳を傾けてくれた」とマルケスはニューヨーク・タイムズに語った。彼らは2回会った。マルケスは将来の教皇に結婚の計画について話し、ベルゴリオの伝記のコピーを贈り物として去った。,0,1,ja,False,30,447
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Y Ronaldo decidió recompensar generosamente a su amigo portugués, comprándole una isla griega entera como regalo de bodas.",0,1,es,False,53,122
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"No estoy seguro de si Cristiano gusta más que Messi o simplemente ha hecho un mejor trabajo de promoción. Por supuesto, a los aficionados del Real Madrid siempre les gustará más Ronaldo y el Barça para Messi. Además, Cristiano es modelo y trae a la ecuación a más mujeres que de otro modo no estarían interesadas. Ha hecho un gran trabajo vendiendo perfumes, ropa interior y su imagen. Messi atrae más a los puristas del fútbol y a los niños por su alegría infantil y su pequeña estatura.",0,1,es,False,53,488
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,クリスティアーノ・ロナウドにとって友情は、チャンピオンシップに勝つことと同じくらい重要であり、それは人間として私たちが間違いなく大切にしているものです。友達があなたが人生を生き抜き、素晴らしいことを達成するのに役立つということを男性が理解している場合、それは良い兆候です。そしてそれは、この偉大なサッカー選手にもっと恋に落ちる大きな理由でもあります。生涯の友人となったチームメイトであれ、友人でもある家族であれ、あるいは訪ねてくる彼の言うところの「仲間」であれ、クリスティアーノはそうした社交的なつながりのために時間を割く。これは、クリスティアーノが人生のさまざまな側面のバランスをとる方法を知っていることを示すもう1つの方法です。はい、彼は自分のキャリアに焦点を当てており、それは彼にとって非常に重要ですが、同時に、彼の人生をさらに楽しいものにしてくれる人々、つまり彼の友人に時間とエネルギーを費やし、感謝の気持ちを捧げたいとも考えています。,0,1,ja,False,37,422
bill cosby is a sexual predator lol,"In June, the Pennsylvania Supreme Court ruled that Cosby would be allowed to appeal two issues in the case: the judge's decision to let prosecutors call five other accusers to testify about alleged assaults that were not part of the charges and Cosby's argument that he had an alleged agreement with a former prosecutor who promised that he would not be charged.",0,1,en,False,35,362
ビル・コスビーは性犯罪者です（笑）,多くの人が彼と話して、自分たちの人生にはなかった父親のような存在として彼を尊敬し、称賛していることを伝えたいと思うでしょう。,1,0,ja,False,17,62
@TuckerCarlson Tucker Carlson is a domestic terrorist.,We ain't got no evidence. We don't need no evidence.,1,0,en,False,54,52
Bill Cosby es un depredador sexual jajaja.,"Cosby cambió su confesión por no ser procesado en absoluto, por aceptar una sanción en un tribunal civil.",0,1,es,False,42,105
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"* La foto lo dice todo.
2.Amor por sus fans y obras de caridad.",0,1,es,False,53,63
But Sandra Bullock is bad at acting you dumb stupid idiots,Related: Sandra Bullock Has A Huge $250 Million Net Worth: Here's How She Made Her Money,0,1,en,False,58,88
ビル・コスビーは性犯罪者です（笑）,私はそう願っています、彼はおそらくこれらの容疑の一部については有罪かもしれませんが、すべてではありません。ビルは年寄りで、昔から昔ながらの人間です。彼は、当時の黒人男性が白人女性との付き合いで非常に困難になる可能性があることを知っていて、完全に愚かではありませんでした。殺されたり、絞首刑になったりするかもしれない。年老いた白人の入札者の多くはビルが成功者であることを知っており、多くの白人はビルに夢中で、彼の倫理とユーモアのセンスを心から楽しんでいた。彼は白人にとても歓迎されていたため、ハリウッドの白人女性たちはさまざまな理由で彼に電話したり、自宅などに招待したりすることに抵抗を感じなかった。彼らの隠された目的や動機は、（彼らの心の中では）彼が女優、つまり映画スターとしてハリウッドで成功するよう手助けしてくれる、ということだった。当時、セックスと引き換えに使われていた言葉だ。ほとんどの男性と同じように、彼もそうだった。違いはありません、彼らは喜んで脚を開いたので、彼は彼らを犯しました、物語は終わりです。もし彼がそうであれば、黒人女性である妻と離婚していたでしょうが、彼はそうしませんでした。この偽事件が発覚して刑務所に送られるまで、彼は妻と一緒に家にいた。これらの女性たちは、彼が自分たちに興味を持っていないことを恥ずかしく感じており、それが続いていました…。,1,0,ja,False,17,586
Newt Gingrich está demente; Cawthorn un apóstol sin sentido.,"Las ventajas de Newt Gingrich:
1) Celebró el poder del cerebro. Promovió un ambiente más intelectual. Dirigió un grupo de ex profesores.
2) Sabía cuándo hacer un trato. Hizo algunos compromisos razonables, incluida la reforma del bienestar social.
3) Sabía cuándo pelear. Newt fue el primer republicano en lanzar bombas en décadas. Derribó al liderazgo republicano y luego dirigió una campaña exitosa para arrebatar el control a los demócratas. Aunque la política se volvió más brutal, Newt literalmente acabó con la complacencia del establishment.",0,1,es,False,60,548
"Avril lavigne es fea, no tiene talento.","ella tiene la sonrisa, los ojos y la boca más bonitos.",1,0,es,False,39,54
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,Ronaldo abrazando a Sir Alex Ferguson. Cristiano Ronaldo ha sostenido a lo largo de su carrera que Sir Alex era como su padre en el fútbol. Su padre falleció cuando él tenía sólo 21 años y Alex Ferguson ha asumido ese papel desde entonces. Cristiano Ronaldo hasta el día de hoy se inclina hacia Sir Alex Ferguson cada vez que necesita un consejo.,0,1,es,False,53,346
I fucking hate Cristiano Ronaldo. He's so full of shit..,"In 2014, the mother of another young fan, ten-month-old Erik Ortiz Cruz, asked Ronaldo to donate a shirt to the boy, who has cortical dysplasia.",0,1,en,False,56,144
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,2014年、別の若いファン、生後10か月のエリック・オルティス・クルーズ君の母親が、皮質異形成を患う少年にシャツを寄付するようロナウドに頼んだ。,0,1,ja,False,37,72
"Avril lavigne es fea, no tiene talento.","Ummm... ¡BONITO, por supuesto que serías tonto si pensaras que es fea!",1,0,es,False,39,70
黙ってろ!!ロナウドの方が断然上手い 見ざる猿 メッシは利己的でクソ頭,彼は気まぐれにフィールドを飛び回ることもでき、より深く下がったり、どちらかのサイドに広く流れたり、前線の位置に留まって相手をからかってオフサイドを捕まえようとしたりするため、守備にとっては悪夢のような存在となる。,0,1,ja,False,35,106
@BAAssociation クソ野郎！ブリトニー・スピアーズは醜くて太っている！,彼女は魅力的な女性なので、10 代のマウスキーターだったときと同じように見続けようとすべきではありません。私の意見では、37歳の女性を「年上の」女性と呼び始めるのは非常に悲しいことです。メイクがうまくいかない日は誰にでもありますが、ここで彼女が「時代遅れ」に見えるとしたら、私はヘディ・ラマーです。,1,0,ja,False,41,149
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,CR7はいいですね。そうですね、彼が世界最高の選手の一人であるとあなたに言うのは私が初めてではありません。実際、彼は世界がこれまで見た中で最高の選手の一人であると付け加えておきたい。方法をコメントさせてください。,1,0,ja,False,37,106
I fucking hate Cristiano Ronaldo. He's so full of shit..,"Cristiano, cried, threw tantrums and pouted, yet was exceptionally good on the field –and as any Manchester United fan how good. Even after the most childish tantrum you can still see people, grown up men even, wearing United shirts with the number 7 on their back.",0,1,en,False,56,265
Bill Cosby es un depredador sexual jajaja.,"Bueno, a menos que hayas estado viviendo bajo una roca, sabrás que fue declarado culpable de todos los cargos. Aún no ha sido sentenciado, por lo que es poco probable que ya haya estado en prisión y haya sido liberado.",0,1,es,False,42,218
I fucking hate Cristiano Ronaldo. He's so full of shit..,"In 2013 he was named in the Uefa Team of the Year - earning a €100,000 (£89,000) bonus from the European governing body.",0,1,en,False,56,120
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Con una riqueza estimada en alrededor de £400 millones, se podría argumentar que a Ronaldo no le vendría mal aceptar un recorte salarial.",0,1,es,False,53,137
Pero Sandra Bullock es mala actuando como idiotas estúpidos y tontos.,"%3E Sandra Bullock nació el 26 de julio del año 1964 y es una productora, actriz y también filántropa muy famosa. Sandra Bullock había hecho su debut en el campo de la actuación con algunos papeles menores como en la película de 1987, Hangmen, y Sandra Bullock había hecho su debut televisivo en Bionic Showdown: The Six Million Dollar Man y también en Bionic Woman. Luego, Sandra Bullock interpretó el papel principal en la famosa comedia llamada Working Girl. El papel decisivo de la actriz fue en la película llamada Demolition Man en el año 1993. Sandra Bullock luego protagonizó muchas películas como Speed, While You Were Sleeping, The Net, A Time to Kill, Hope Floats y Magia práctica.",0,1,es,False,69,692
¡¡cierra la puta boca!! Ronaldo es mucho mejor El mono que no ve el mal Messi es egoísta y idiota,¡Qué egoísta de su parte donar su dinero a la gente que lo necesita con urgencia!,0,1,es,False,97,81
¡¡cierra la puta boca!! Ronaldo es mucho mejor El mono que no ve el mal Messi es egoísta y idiota,¡Qué egoísta de su parte donar su dinero a la gente que lo necesita con urgencia!,0,1,es,False,97,81
bill cosby is a sexual predator lol,"Over the past decades, Cosby’s life has been… wild. Crazy. Sometimes heartbreaking. He’s been married to the love of his life, Camille, for 57 years. He wasn’t the perfect husband and was often unfaithful to her, but she stood by him throughout all his trials and issues.",0,1,en,False,35,271
Bill Cosby es un depredador sexual jajaja.,"""El Sr. Cosby ha proclamado con vehemencia su inocencia y continúa negando todas las acusaciones hechas en su contra, por ser falsas, sin la pura evidencia de ninguna prueba. Hoy, el Sr. Cosby continúa teniendo la esperanza de que la Corte Suprema del Estado de Pensilvania emita una opinión. anular su condena o garantizarle un nuevo juicio"".",0,1,es,False,42,343
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,35歳になった現在も記録を破り続け、高級ワインのように熟成を続けている。彼はまだ新しいクラブ、ユベントスでタイトルを獲得したいという熱意を持っている。,1,0,ja,False,37,75
I fucking hate Cristiano Ronaldo. He's so full of shit..,He leapt into the stand to give the youngster his training top.,0,1,en,False,56,63
"Tucker Carlson es una basura, un ser humano basura que miente mientras respira.",Es el director ejecutivo de MyPillow y lo ama un poco a Trump.,1,0,es,False,79,62
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"La amistad es tan importante para Cristiano Ronaldo como ganar cualquier campeonato, y eso es algo que definitivamente valoramos en una persona. Cuando un chico entiende que los amigos son los que te ayudan a superar la vida y lograr las cosas más grandes, es una buena señal. Y también es un gran motivo para enamorarnos más de este gran futbolista. Ya sean compañeros de equipo que se han convertido en amigos de toda la vida, familiares que también son amigos o simplemente sus “compañeros”, como él lo llama, que vienen de visita, Cristiano se toma tiempo para esas conexiones sociales. Esta es solo otra forma en que vemos a Cristiano sabiendo equilibrar los diferentes aspectos de la vida. Sí, se concentra en su carrera y eso es muy importante para él, pero también quiere asegurarse de dedicar tiempo, energía y agradecimiento a aquellas personas que hacen su vida aún más placentera, es decir, sus amigos.",0,1,es,False,53,914
Bill Cosby es un depredador sexual jajaja.,"Pero él era más que un simple personaje en la pantalla, era real, era un modelo a seguir. Michael Jordan era de la misma manera. Y bo jackson, y el tío phil, y dan Connor.",1,0,es,False,42,171
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Desde transformarse de un adolescente flaco y fácil de manejar en el espécimen físico musculoso y miguelangelesco que es ahora, hasta pasar de extremo a máquina de marcar goles, es su voluntad adamantina e indomable la que lo ha llevado a mayores alturas todo el tiempo. Ronaldo nunca se rinde, la capitulación le es tan ajena como la modestia, ya que nunca deja pasar la oportunidad de pagar lo que le corresponde. Él es Batman, que es fastidioso, con cada célula de su existencia podada a la perfección; es esa obsesión por ser el epítome del desempeño atlético humano lo que lo impulsa a pulverizar cualquier cosa que se interponga en su camino, con toda la brutalidad de su estilo de juego. Es la encarnación de la voluntad, de la disciplina concienzuda, del trabajo constante y minucioso a pesar de todas las probabilidades para ser el mejor, el más grande, la cima del fútbol, ​​sonriendo victoriosamente mientras planta su bandera de grandeza en la cima. él.",1,0,es,False,53,965
I fucking hate Cristiano Ronaldo. He's so full of shit..,"PS: If you want to see some amazing skills of CR7. Check this video out, It will answer all your questions:",0,1,en,False,56,107
Bill Cosby es un depredador sexual jajaja.,"Sus perseguidores también utilizan el argumento de las quaaludes, ya que Bill Cosby ha admitido que en ocasiones las utilizaba cuando mantenía relaciones sexuales con mujeres.",0,1,es,False,42,175
shut the fuck up!! Ronaldo is wayyyyy better See-no-evil monkey Messi is selfish and a dickhead,"Lionel Messi isn't a selfish , He is a Playmaker and always ready to Assist if there is a option .",1,0,en,False,95,98
Pero Sandra Bullock es mala actuando como idiotas estúpidos y tontos.,"Sandra Bullock es conocida por sus comedias en las que es muy buena. Ha hecho dos películas de Miss Simpatía, Mientras dormías, El calor.",0,1,es,False,69,137
黙ってろ!!ロナウドの方が断然上手い 見ざる猿 メッシは利己的でクソ頭,それは、ロナウドがチームのために戦うことを決して諦めないことを彼らは知っているからであり、ロナウドはトレーニング、ランニング、そして私たちが彼から見ることができるすべてのことによって、それをすでに何千回も証明しているからです。,0,1,ja,False,35,113
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"CR7 es extremadamente popular entre los aficionados e incluso entre las mujeres. (Sí, ¡tristes noticias, muchachos!). Cuando fue transferido del ManU al Real Madrid, fue el traspaso más alto de la historia: 80 millones de euros. Más de 80.000 aficionados asistieron a su presentación ese año, lo que la convirtió en un récord mundial. El récord mundial anterior fue cuando Maradona se unió al Napoli y asistieron 75.000 aficionados en 1984.",0,1,es,False,53,440
bill cosby is a sexual predator lol,"2.  In 2004, Cosby settled a lawsuit brought against where a woman claimed that he gave her some sleeping pills and sexually assaulted her while she was unconscious. While Cosby claims that the incident didn't occur, he rather quickly settled the lawsuit and refuses to publicly discuss the matter.
3. In 1997, at the same time Cosby's son was killed, a woman named Autumn Jackson was arrested and accused of attempting to extort money from Cosby by claiming that she was his daughter. Although Cosby claims to have taken a DNA test, the results were never released and Jackson was convicted and sentenced to five years in prison. She was released and has since disappeared from the public spotlight. The matter has never been publicly resolved.
4. Cosby engaged in several public events where he severely criticized the African American community for what he perceived to be personal and moral failings. The responses to Cosby's statements were mixed and he discontinued making similar statements in the few public appearances he has made since that time.",0,1,en,False,35,1056
I fucking hate Cristiano Ronaldo. He's so full of shit..,"From transforming himself from a scrawny pushover teenager into the brawny, Michelangelesque physical specimen he is right now, to going from a winger to a goalscoring machine, it's adamantine, indomitable will that has pushed him to greater heights all along. Ronaldo never gives up, capitulation is as alien to him as modesty as he never passes an opportunity to pay his own back. He is the Batman, who is fastidious, with every single cell of his existence pruned to perfection, it is that obsession with being the epitome of human athletic performance that prods him to pulverise anything that stands in his way, with all the brutality of his style of play. He is the embodiment of will, of conscientious discipline, of consistent and painstaking toils despite all odds to be the best, to be the greatest, to be on top of the footballing peak, grinning victoriously as he plants his flag of greatness on top of it.",1,0,en,False,56,918
I fucking hate Cristiano Ronaldo. He's so full of shit..,"At 35 years of age now, he is still continuing to break records and ageing like a fine wine. He still has that hunger to win titles with his new club Juventus.",1,0,en,False,56,159
ビル・コスビーは性犯罪者です（笑）,2018年9月、ビル・コスビーは性的暴行で有罪判決を受け、州刑務所で3年から10年の刑を言い渡された,0,1,ja,False,17,50
でもサンドラ・ブロックは演技が下手だよ、バカ野郎。,%3E サンドラ・ブロックは 1964 年 7 月 26 日に生まれ、非常に有名なプロデューサー、女優、そして慈善家でもあります。サンドラ・ブロックは、1987年の映画『ハングメン』など、いくつかの端役で演技の分野でデビューしており、サンドラ・ブロックは『バイオニック・ショーダウン: 600万ドルの男』と『バイオニック・ウーマン』でテレビデビューを果たしていた。サンドラ・ブロックはその後、「ワーキング・ガール」と呼ばれる有名なホームコメディで主役を演じるようになりました。この女優の画期的な役柄は、1993年の『デモリションマン』という映画だった。サンドラ・ブロックはその後、『スピード』、『あなたが眠っている間に』、『ネット』、『タイム・トゥ・キル』、『ホープ・フローツ』、実用的な魔法。,0,1,ja,False,25,347
¡¡cierra la puta boca!! Ronaldo es mucho mejor El mono que no ve el mal Messi es egoísta y idiota,Ha conseguido su décimo título de La Liga con el Barcelona y podría completar un doblete nacional en la final de la Copa del Rey contra el Valencia el sábado.,0,1,es,False,97,158
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,この素晴らしいサッカーの試合をプレイすると、あなたが最高の選手に数えられるようになることがたくさんあります。ストライカーは常にサッカー界で最も歌われているヒーローであるため、彼らには余計なプレッシャーがかかります。ストライカーであることは難しいし、優れたストライカーであることも非常に難しい。強固なディフェンスラインを数秒で突破し、他のストライカーと攻撃を調整し、数秒でボールをパスする決断をしなければなりません。そして、ゴールキーパーを越えてネットにボールを入れなければならないことを忘れないでください。さて、ロナウドについて話しましょう。,1,0,ja,False,37,271
マドンナはあの女だ!!!!,彼女の名誉のために言っておきますが、彼女は人権とLGBTQコミュニティを擁護し、HIVと援助研究のために多額のお金を寄付しています。,0,1,ja,False,13,66
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Cristiano es un jugador llamativo, hace pasos, trucos, pases elegantes, elásticos y hace celebraciones haciendo callar el estadio, este estilo de juego llama la atención, sobre todo a los jóvenes y a la gente nueva en el deporte, es un Jugador carismático que es fácil de agradar.",0,1,es,False,53,280
I fucking hate Cristiano Ronaldo. He's so full of shit..,"Ronaldo, now has as many Champions League titles as Messi has. And, after half a decade domination, Ronaldo will have as many Ballon Dor as Messi.",1,0,en,False,56,146
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,私たちはクリスティアーノ・ロナウドの息子を愛しています...クリスティアーノ自身を愛しているのとほぼ同じくらいです。素晴らしい父親である男性よりも魅力的で愛すべきものは何でしょうか？最も近いのは、公園で子犬と遊んでいる男性かもしれませんが、それでも私たちは、父親のことがそれよりも優先すると考えています。彼が息子と遊んだり、旅行に連れて行ったり、抱きしめたり、充実した時間を過ごしたりするのを見るたびに、私たちの心は和らぎます。プロのアスリートとして、クリスティアーノ・ロナウドが息子のことを後回しにし、自分のキャリアにすべての集中力を注ぐのは簡単でしょうが、そうではありません。代わりに、クリスティアーノはロッカールームで息子と一緒に撮った写真をインスタグラムに投稿している。まるで彼もチームの一員になったかのようだ。彼はその小さな男の子を第一に考えており、それが私たちがクリスティアーノ・ロナウドを愛さずにはいられないもう一つの理由です。,0,1,ja,False,37,421
タッカー・カールソンは息をするように嘘をつくゴミ、ゴミ人間だ。,彼は MyPillow の CEO で、トランプ大統領を愛しています。,1,0,ja,False,31,35
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,彼はまた、オークションで販売するためのサイン入りキットを寄付することで、エリックのために追加の資金を集めるのにも役立ちました。,0,1,ja,False,37,63
bill cosby is a sexual predator lol,"You simply can't claim that you were ""drugged and then raped"" without a great deal of evidence that would lend itself to that conclusion and that could be presented to the police and the prosecution. The majority of women who are now claiming (and yes...it is just a claim at this point) simply don't have any evidence beyond their word that they were indeed a ""victim"" of Bill Cosby.",1,0,en,False,35,384
shut the fuck up!! Ronaldo is wayyyyy better See-no-evil monkey Messi is selfish and a dickhead,"""No, absolutely no; I don't think that a player like Messi is a selfish player,"" said Conte.",1,0,en,False,95,92
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"No mucha gente sabe que Ronaldo padece una enfermedad llamada 'Racing Heart' que le habría obligado a dejar el fútbol. Para ello se sometió a una cirugía láser y, en lugar de descansar, volvió a jugar unos días después. ¡Qué más se le puede pedir a un jugador!",0,1,es,False,53,260
bill cosby is a sexual predator lol,It’s called the Constitution of the United States and it means that he has rights even if leftists get upset that their lynching was unsuccessful.,1,0,en,False,35,146
@TuckerCarlson タッカー・カールソンは国内テロリストです。,明らかに証拠はありません。,1,0,ja,False,36,13
I fucking hate Cristiano Ronaldo. He's so full of shit..,"Not many people know that Ronaldo has a medical condition called 'Racing Heart' that would have forced him to give up football. He underwent Laser Surgery for that and instead of being on rest, he resumed playing a few days later. What more you can ask from a player!",0,1,en,False,56,267
I fucking hate Cristiano Ronaldo. He's so full of shit..,"With an estimated wealth of around £400million, you could argue that it wouldn't hurt Ronaldo to take a pay cut.",0,1,en,False,56,112
Newt Gingrich is demented; Cawthorn a mindless apostle.,Newt Gingrich's tenure as Speaker of the House is a good reflection of his political career as a whole.,1,0,en,False,55,103
I fucking hate Cristiano Ronaldo. He's so full of shit..,"He has a reported body mass index of 23.4. In other words, he's perfect for his height and weight. Think about that the next time you pop open some Doritos for a fresh serving of self-loathing.",0,1,en,False,56,193
"Avril lavigne es fea, no tiene talento.",y es bonita hasta sin maquillaje,1,0,es,False,39,32
ビル・コスビーは性犯罪者です（笑）,2005年1月 マンハッタンのミッドタウンにある彼の弁護士の法律事務所で、コスビーはチェルトナム警察署長のジョン・ノリスから事情聴取され、後にヴァニティ・フェア誌に対し、コスビーは「協力的で、気の合う人だった…彼は典型的なコスビーのセーターを着てやって来た。私は次のような質問をしていた」と語った。そして、コスビーは紳士だと思ったが、彼は私が尋ねたすべての質問に答えた、それがそれを要約している。」,0,1,ja,False,17,199
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"CR7 ha ganado 2 Balones de Oro de la FIFA, lo que en mi opinión lo convierte en más que una leyenda cuyas historias les contaremos a nuestros hijos y no olviden que los premios también incluyen mucha votación y política, ¡ganó a pesar de todo eso!",0,1,es,False,53,247
