tweet,paragraph,label,predicted_label,language,correct_prediction,tweet_length,paragraph_length
I fucking hate Cristiano Ronaldo. He's so full of shit..,Ronaldo hugging Sir Alex Ferguson. Cristiano Ronaldo has throughout his career maintained that Sir Alex was like his father in football. His dad passed away when he was only 21 and Alex Ferguson has taken on that role ever since. Cristiano Ronaldo to this day reclines towards Sir Alex Ferguson whenever he needs advice.,0,1,en,False,56,320
I fucking hate Cristiano Ronaldo. He's so full of shit..,"After suffering a relapse in October last year, Tomas' parents appealed to try and get funding for their brave child's operations.",0,1,en,False,56,130
But Sandra Bullock is bad at acting you dumb stupid idiots,"Indeed, when Bullock has a script that lives up to her performing skills, she shines. She won an Academy Award for her turn in “The Blind Side” (2009) and received a best actress nomination for her essentially-one-woman-show role in “Gravity” (2013). There’s a reason that she’s the second-most bankable actress working, according to a metric developed by box office analytics site The Numbers.",0,1,en,False,58,394
黙ってろ!!ロナウドの方が断然上手い 見ざる猿 メッシは利己的でクソ頭,「いいえ、まったく違います。メッシのような選手が利己的な選手だとは思いません」とコンテ監督は語った。,1,0,ja,False,35,50
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Y Ronaldo decidió recompensar generosamente a su amigo portugués, comprándole una isla griega entera como regalo de bodas.",0,1,es,False,53,122
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"No estoy seguro de si Cristiano gusta más que Messi o simplemente ha hecho un mejor trabajo de promoción. Por supuesto, a los aficionados del Real Madrid siempre les gustará más Ronaldo y el Barça para Messi. Además, Cristiano es modelo y trae a la ecuación a más mujeres que de otro modo no estarían interesadas. Ha hecho un gran trabajo vendiendo perfumes, ropa interior y su imagen. Messi atrae más a los puristas del fútbol y a los niños por su alegría infantil y su pequeña estatura.",0,1,es,False,53,488
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,クリスティアーノ・ロナウドにとって友情は、チャンピオンシップに勝つことと同じくらい重要であり、それは人間として私たちが間違いなく大切にしているものです。友達があなたが人生を生き抜き、素晴らしいことを達成するのに役立つということを男性が理解している場合、それは良い兆候です。そしてそれは、この偉大なサッカー選手にもっと恋に落ちる大きな理由でもあります。生涯の友人となったチームメイトであれ、友人でもある家族であれ、あるいは訪ねてくる彼の言うところの「仲間」であれ、クリスティアーノはそうした社交的なつながりのために時間を割く。これは、クリスティアーノが人生のさまざまな側面のバランスをとる方法を知っていることを示すもう1つの方法です。はい、彼は自分のキャリアに焦点を当てており、それは彼にとって非常に重要ですが、同時に、彼の人生をさらに楽しいものにしてくれる人々、つまり彼の友人に時間とエネルギーを費やし、感謝の気持ちを捧げたいとも考えています。,0,1,ja,False,37,422
bill cosby is a sexual predator lol,"In June, the Pennsylvania Supreme Court ruled that Cosby would be allowed to appeal two issues in the case: the judge's decision to let prosecutors call five other accusers to testify about alleged assaults that were not part of the charges and Cosby's argument that he had an alleged agreement with a former prosecutor who promised that he would not be charged.",0,1,en,False,35,362
ビル・コスビーは性犯罪者です（笑）,多くの人が彼と話して、自分たちの人生にはなかった父親のような存在として彼を尊敬し、称賛していることを伝えたいと思うでしょう。,1,0,ja,False,17,62
@TuckerCarlson Tucker Carlson is a domestic terrorist.,We ain't got no evidence. We don't need no evidence.,1,0,en,False,54,52
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"* La foto lo dice todo.
2.Amor por sus fans y obras de caridad.",0,1,es,False,53,63
ビル・コスビーは性犯罪者です（笑）,私はそう願っています、彼はおそらくこれらの容疑の一部については有罪かもしれませんが、すべてではありません。ビルは年寄りで、昔から昔ながらの人間です。彼は、当時の黒人男性が白人女性との付き合いで非常に困難になる可能性があることを知っていて、完全に愚かではありませんでした。殺されたり、絞首刑になったりするかもしれない。年老いた白人の入札者の多くはビルが成功者であることを知っており、多くの白人はビルに夢中で、彼の倫理とユーモアのセンスを心から楽しんでいた。彼は白人にとても歓迎されていたため、ハリウッドの白人女性たちはさまざまな理由で彼に電話したり、自宅などに招待したりすることに抵抗を感じなかった。彼らの隠された目的や動機は、（彼らの心の中では）彼が女優、つまり映画スターとしてハリウッドで成功するよう手助けしてくれる、ということだった。当時、セックスと引き換えに使われていた言葉だ。ほとんどの男性と同じように、彼もそうだった。違いはありません、彼らは喜んで脚を開いたので、彼は彼らを犯しました、物語は終わりです。もし彼がそうであれば、黒人女性である妻と離婚していたでしょうが、彼はそうしませんでした。この偽事件が発覚して刑務所に送られるまで、彼は妻と一緒に家にいた。これらの女性たちは、彼が自分たちに興味を持っていないことを恥ずかしく感じており、それが続いていました…。,1,0,ja,False,17,586
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Cruyff, tiene mala suerte de no estar entre los 6 primeros mientras redefinió el fútbol. Un jugador maravilloso y, una vez más, es otro que creo que es mejor que Pelé.",0,1,es,False,53,167
Newt Gingrich está demente; Cawthorn un apóstol sin sentido.,"Las ventajas de Newt Gingrich:
1) Celebró el poder del cerebro. Promovió un ambiente más intelectual. Dirigió un grupo de ex profesores.
2) Sabía cuándo hacer un trato. Hizo algunos compromisos razonables, incluida la reforma del bienestar social.
3) Sabía cuándo pelear. Newt fue el primer republicano en lanzar bombas en décadas. Derribó al liderazgo republicano y luego dirigió una campaña exitosa para arrebatar el control a los demócratas. Aunque la política se volvió más brutal, Newt literalmente acabó con la complacencia del establishment.",0,1,es,False,60,548
"Avril lavigne es fea, no tiene talento.","ella tiene la sonrisa, los ojos y la boca más bonitos.",1,0,es,False,39,54
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,Ronaldo abrazando a Sir Alex Ferguson. Cristiano Ronaldo ha sostenido a lo largo de su carrera que Sir Alex era como su padre en el fútbol. Su padre falleció cuando él tenía sólo 21 años y Alex Ferguson ha asumido ese papel desde entonces. Cristiano Ronaldo hasta el día de hoy se inclina hacia Sir Alex Ferguson cada vez que necesita un consejo.,0,1,es,False,53,346
I fucking hate Cristiano Ronaldo. He's so full of shit..,"In 2014, the mother of another young fan, ten-month-old Erik Ortiz Cruz, asked Ronaldo to donate a shirt to the boy, who has cortical dysplasia.",0,1,en,False,56,144
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,2014年、別の若いファン、生後10か月のエリック・オルティス・クルーズ君の母親が、皮質異形成を患う少年にシャツを寄付するようロナウドに頼んだ。,0,1,ja,False,37,72
"Avril lavigne es fea, no tiene talento.","Ummm... ¡BONITO, por supuesto que serías tonto si pensaras que es fea!",1,0,es,False,39,70
@BAAssociation クソ野郎！ブリトニー・スピアーズは醜くて太っている！,彼女は魅力的な女性なので、10 代のマウスキーターだったときと同じように見続けようとすべきではありません。私の意見では、37歳の女性を「年上の」女性と呼び始めるのは非常に悲しいことです。メイクがうまくいかない日は誰にでもありますが、ここで彼女が「時代遅れ」に見えるとしたら、私はヘディ・ラマーです。,1,0,ja,False,41,149
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,CR7はいいですね。そうですね、彼が世界最高の選手の一人であるとあなたに言うのは私が初めてではありません。実際、彼は世界がこれまで見た中で最高の選手の一人であると付け加えておきたい。方法をコメントさせてください。,1,0,ja,False,37,106
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Ronaldo fue alertado sobre la historia de Nuhuzet Guillén, un niño de nueve años que padeció un cáncer terminal en 2009.",0,1,es,False,53,120
I fucking hate Cristiano Ronaldo. He's so full of shit..,5.He is a complete player,0,1,en,False,56,25
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,卓球は素晴らしいスポーツです。そしてロナウドはプロ卓球選手になるチャンスを諦め、スポルティング・リスボンと契約した。面白いけどナニ――ナニ！ -- このトラッシュトークビデオが示すように、彼は C-Ron を試合に連れて行けると考えている。,0,1,ja,False,37,120
I fucking hate Cristiano Ronaldo. He's so full of shit..,"Cristiano, cried, threw tantrums and pouted, yet was exceptionally good on the field –and as any Manchester United fan how good. Even after the most childish tantrum you can still see people, grown up men even, wearing United shirts with the number 7 on their back.",0,1,en,False,56,265
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,ロナウドは、2016年10月にチャンピオンズリーグでレギア・ワルシャワに勝利した後も、元右サイドバックにユニフォームを贈った。,0,1,ja,False,37,63
Pero Sandra Bullock es mala actuando como idiotas estúpidos y tontos.,"%3E Sandra Bullock nació el 26 de julio del año 1964 y es una productora, actriz y también filántropa muy famosa. Sandra Bullock había hecho su debut en el campo de la actuación con algunos papeles menores como en la película de 1987, Hangmen, y Sandra Bullock había hecho su debut televisivo en Bionic Showdown: The Six Million Dollar Man y también en Bionic Woman. Luego, Sandra Bullock interpretó el papel principal en la famosa comedia llamada Working Girl. El papel decisivo de la actriz fue en la película llamada Demolition Man en el año 1993. Sandra Bullock luego protagonizó muchas películas como Speed, While You Were Sleeping, The Net, A Time to Kill, Hope Floats y Magia práctica.",0,1,es,False,69,692
¡¡cierra la puta boca!! Ronaldo es mucho mejor El mono que no ve el mal Messi es egoísta y idiota,¡Qué egoísta de su parte donar su dinero a la gente que lo necesita con urgencia!,0,1,es,False,97,81
¡¡cierra la puta boca!! Ronaldo es mucho mejor El mono que no ve el mal Messi es egoísta y idiota,¡Qué egoísta de su parte donar su dinero a la gente que lo necesita con urgencia!,0,1,es,False,97,81
Bill Cosby es un depredador sexual jajaja.,"""El Sr. Cosby ha proclamado con vehemencia su inocencia y continúa negando todas las acusaciones hechas en su contra, por ser falsas, sin la pura evidencia de ninguna prueba. Hoy, el Sr. Cosby continúa teniendo la esperanza de que la Corte Suprema del Estado de Pensilvania emita una opinión. anular su condena o garantizarle un nuevo juicio"".",0,1,es,False,42,343
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,35歳になった現在も記録を破り続け、高級ワインのように熟成を続けている。彼はまだ新しいクラブ、ユベントスでタイトルを獲得したいという熱意を持っている。,1,0,ja,False,37,75
I fucking hate Cristiano Ronaldo. He's so full of shit..,He leapt into the stand to give the youngster his training top.,0,1,en,False,56,63
"Tucker Carlson es una basura, un ser humano basura que miente mientras respira.",Es el director ejecutivo de MyPillow y lo ama un poco a Trump.,1,0,es,False,79,62
でもサンドラ・ブロックは演技が下手だよ、バカ野郎。,一方、サンドラ・ブロックは、キャリアを通じてそれをかなり乱暴に混ぜ合わせました。私はいつも彼女の幅広さに感銘を受けたのを覚えています。彼女は私の大好きなロマンティックコメディ「あなたが眠っている間に」で主役を演じましたが、スリラー、アクション映画、ドラマ、SFにも出演しています。彼女はハリウッドが彼女を可愛くてきれいであることに制限することを決して許しませんでした。当然のことながら、彼女がロマンチックな主人公の典型的な年齢を超えたとき、彼女が前に進み、関連性を維持する余地がさらにあり、おそらく他のオファーの中でさらにいくつかのロマンティックコメディを出演することができたでしょう。,0,1,ja,False,25,293
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"La amistad es tan importante para Cristiano Ronaldo como ganar cualquier campeonato, y eso es algo que definitivamente valoramos en una persona. Cuando un chico entiende que los amigos son los que te ayudan a superar la vida y lograr las cosas más grandes, es una buena señal. Y también es un gran motivo para enamorarnos más de este gran futbolista. Ya sean compañeros de equipo que se han convertido en amigos de toda la vida, familiares que también son amigos o simplemente sus “compañeros”, como él lo llama, que vienen de visita, Cristiano se toma tiempo para esas conexiones sociales. Esta es solo otra forma en que vemos a Cristiano sabiendo equilibrar los diferentes aspectos de la vida. Sí, se concentra en su carrera y eso es muy importante para él, pero también quiere asegurarse de dedicar tiempo, energía y agradecimiento a aquellas personas que hacen su vida aún más placentera, es decir, sus amigos.",0,1,es,False,53,914
Bill Cosby es un depredador sexual jajaja.,"Pero él era más que un simple personaje en la pantalla, era real, era un modelo a seguir. Michael Jordan era de la misma manera. Y bo jackson, y el tío phil, y dan Connor.",1,0,es,False,42,171
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Desde transformarse de un adolescente flaco y fácil de manejar en el espécimen físico musculoso y miguelangelesco que es ahora, hasta pasar de extremo a máquina de marcar goles, es su voluntad adamantina e indomable la que lo ha llevado a mayores alturas todo el tiempo. Ronaldo nunca se rinde, la capitulación le es tan ajena como la modestia, ya que nunca deja pasar la oportunidad de pagar lo que le corresponde. Él es Batman, que es fastidioso, con cada célula de su existencia podada a la perfección; es esa obsesión por ser el epítome del desempeño atlético humano lo que lo impulsa a pulverizar cualquier cosa que se interponga en su camino, con toda la brutalidad de su estilo de juego. Es la encarnación de la voluntad, de la disciplina concienzuda, del trabajo constante y minucioso a pesar de todas las probabilidades para ser el mejor, el más grande, la cima del fútbol, ​​sonriendo victoriosamente mientras planta su bandera de grandeza en la cima. él.",1,0,es,False,53,965
🤯🤯🤯 Amber Heard is an absolute fraud! #AmberHeard is a serial domestic abuser. #Aquaman2 #Aquaman #WarnerBros… https://t.co/9Sdy9Lmx9Y,"“Amber has already been responsible for seven figures in donations to charitable causes and intends to continue to contribute and eventually fulfill her pledge,” the Reston located Bredehoft added. “However, Amber has been delayed in that goal because Mr. Depp filed a lawsuit against her, and consequently, she has been forced to spend millions of dollars defending Mr. Depp’s false accusations against her.”",1,0,en,False,134,409
I fucking hate Cristiano Ronaldo. He's so full of shit..,He is the all-time Real Madrid Goal Scorer and had scored multiple hat-tricks and one under 8 minutes against Granada in 2015.,0,1,en,False,56,126
Pero Sandra Bullock es mala actuando como idiotas estúpidos y tontos.,"Sandra Bullock es conocida por sus comedias en las que es muy buena. Ha hecho dos películas de Miss Simpatía, Mientras dormías, El calor.",0,1,es,False,69,137
黙ってろ!!ロナウドの方が断然上手い 見ざる猿 メッシは利己的でクソ頭,私は、ロナウドの方がそうしたプレッシャーのかかる状況に対処するのが上手だと考えている。フリーキックやペナルティの前に彼が深呼吸をしているのをよく見たが、それは彼の精神性を反映している。,0,1,ja,False,35,92
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"CR7 es extremadamente popular entre los aficionados e incluso entre las mujeres. (Sí, ¡tristes noticias, muchachos!). Cuando fue transferido del ManU al Real Madrid, fue el traspaso más alto de la historia: 80 millones de euros. Más de 80.000 aficionados asistieron a su presentación ese año, lo que la convirtió en un récord mundial. El récord mundial anterior fue cuando Maradona se unió al Napoli y asistieron 75.000 aficionados en 1984.",0,1,es,False,53,440
I fucking hate Cristiano Ronaldo. He's so full of shit..,"From transforming himself from a scrawny pushover teenager into the brawny, Michelangelesque physical specimen he is right now, to going from a winger to a goalscoring machine, it's adamantine, indomitable will that has pushed him to greater heights all along. Ronaldo never gives up, capitulation is as alien to him as modesty as he never passes an opportunity to pay his own back. He is the Batman, who is fastidious, with every single cell of his existence pruned to perfection, it is that obsession with being the epitome of human athletic performance that prods him to pulverise anything that stands in his way, with all the brutality of his style of play. He is the embodiment of will, of conscientious discipline, of consistent and painstaking toils despite all odds to be the best, to be the greatest, to be on top of the footballing peak, grinning victoriously as he plants his flag of greatness on top of it.",1,0,en,False,56,918
¡¡cierra la puta boca!! Ronaldo es mucho mejor El mono que no ve el mal Messi es egoísta y idiota,"Por otro lado, ha ayudado un millón de veces a Suárez, Higuaín, Agüero, Di María y Neymar, y seguirá haciéndolo mientras jueguen en el mismo equipo.",0,1,es,False,97,148
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,彼は常に献血者であるため、自分の体にタトゥーを入れることを拒否しています。,1,0,ja,False,37,37
I fucking hate Cristiano Ronaldo. He's so full of shit..,"At 35 years of age now, he is still continuing to break records and ageing like a fine wine. He still has that hunger to win titles with his new club Juventus.",1,0,en,False,56,159
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Pero el delantero no arrojó sus juguetes fuera del cochecito como algunos críticos esperaban, sino que esperó pacientemente sin ningún signo de arrogancia y Fiore lo describió como un ""niño decente"".",0,1,es,False,53,199
でもサンドラ・ブロックは演技が下手だよ、バカ野郎。,%3E サンドラ・ブロックは 1964 年 7 月 26 日に生まれ、非常に有名なプロデューサー、女優、そして慈善家でもあります。サンドラ・ブロックは、1987年の映画『ハングメン』など、いくつかの端役で演技の分野でデビューしており、サンドラ・ブロックは『バイオニック・ショーダウン: 600万ドルの男』と『バイオニック・ウーマン』でテレビデビューを果たしていた。サンドラ・ブロックはその後、「ワーキング・ガール」と呼ばれる有名なホームコメディで主役を演じるようになりました。この女優の画期的な役柄は、1993年の『デモリションマン』という映画だった。サンドラ・ブロックはその後、『スピード』、『あなたが眠っている間に』、『ネット』、『タイム・トゥ・キル』、『ホープ・フローツ』、実用的な魔法。,0,1,ja,False,25,347
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,この素晴らしいサッカーの試合をプレイすると、あなたが最高の選手に数えられるようになることがたくさんあります。ストライカーは常にサッカー界で最も歌われているヒーローであるため、彼らには余計なプレッシャーがかかります。ストライカーであることは難しいし、優れたストライカーであることも非常に難しい。強固なディフェンスラインを数秒で突破し、他のストライカーと攻撃を調整し、数秒でボールをパスする決断をしなければなりません。そして、ゴールキーパーを越えてネットにボールを入れなければならないことを忘れないでください。さて、ロナウドについて話しましょう。,1,0,ja,False,37,271
マドンナはあの女だ!!!!,彼女の名誉のために言っておきますが、彼女は人権とLGBTQコミュニティを擁護し、HIVと援助研究のために多額のお金を寄付しています。,0,1,ja,False,13,66
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Cristiano es un jugador llamativo, hace pasos, trucos, pases elegantes, elásticos y hace celebraciones haciendo callar el estadio, este estilo de juego llama la atención, sobre todo a los jóvenes y a la gente nueva en el deporte, es un Jugador carismático que es fácil de agradar.",0,1,es,False,53,280
I fucking hate Cristiano Ronaldo. He's so full of shit..,"Ronaldo, now has as many Champions League titles as Messi has. And, after half a decade domination, Ronaldo will have as many Ballon Dor as Messi.",1,0,en,False,56,146
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,私たちはクリスティアーノ・ロナウドの息子を愛しています...クリスティアーノ自身を愛しているのとほぼ同じくらいです。素晴らしい父親である男性よりも魅力的で愛すべきものは何でしょうか？最も近いのは、公園で子犬と遊んでいる男性かもしれませんが、それでも私たちは、父親のことがそれよりも優先すると考えています。彼が息子と遊んだり、旅行に連れて行ったり、抱きしめたり、充実した時間を過ごしたりするのを見るたびに、私たちの心は和らぎます。プロのアスリートとして、クリスティアーノ・ロナウドが息子のことを後回しにし、自分のキャリアにすべての集中力を注ぐのは簡単でしょうが、そうではありません。代わりに、クリスティアーノはロッカールームで息子と一緒に撮った写真をインスタグラムに投稿している。まるで彼もチームの一員になったかのようだ。彼はその小さな男の子を第一に考えており、それが私たちがクリスティアーノ・ロナウドを愛さずにはいられないもう一つの理由です。,0,1,ja,False,37,421
タッカー・カールソンは息をするように嘘をつくゴミ、ゴミ人間だ。,彼は MyPillow の CEO で、トランプ大統領を愛しています。,1,0,ja,False,31,35
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,彼はまた、オークションで販売するためのサイン入りキットを寄付することで、エリックのために追加の資金を集めるのにも役立ちました。,0,1,ja,False,37,63
Avril lavigne is ugly she have no telant,YES. avril is really pretty and only idiots can call her ugly,1,0,en,False,40,61
I fucking hate Cristiano Ronaldo. He's so full of shit..,4.He made me fall in love with football,0,1,en,False,56,39
🤯🤯🤯 ¡Amber Heard es un fraude absoluto! #AmberHeard es una abusadora doméstica en serie. #Aquaman2 #Aquaman #WarnerBros… https://t.co/9Sdy9Lmx9Y,"""Amber ya ha sido responsable de siete cifras en donaciones a causas benéficas y tiene la intención de continuar contribuyendo y eventualmente cumplir su promesa"", agregó Bredehoft, ubicado en Reston. “Sin embargo, Amber se ha retrasado en ese objetivo porque el señor Depp presentó una demanda contra ella y, en consecuencia, se ha visto obligada a gastar millones de dólares defendiendo las falsas acusaciones del señor Depp contra ella”.",1,0,es,False,144,440
shut the fuck up!! Ronaldo is wayyyyy better See-no-evil monkey Messi is selfish and a dickhead,"""No, absolutely no; I don't think that a player like Messi is a selfish player,"" said Conte.",1,0,en,False,95,92
@TuckerCarlson タッカー・カールソンは国内テロリストです。,明らかに証拠はありません。,1,0,ja,False,36,13
Bill Cosby es un depredador sexual jajaja.,"Más bien, Bill Cosby fue condenado cuando insistió públicamente en que los pobres –incluidos los negros– debían aprender a respetarse a sí mismos a través de la educación y el buen vivir.",0,1,es,False,42,187
ウィル・スミスはカッコ悪いので、男らしく行動して彼女の尻を捨てる必要がある,「私は実際にウィル（・スミス）と座って会話をしました」とアルシーナは語った。 「彼は私に祝福を与えてくれました。」,0,1,ja,False,37,57
ブリトニー・スピアーズは嫌な売春婦だ。クソ豚。,彼女は大人の女性であり、プライバシーを守る権利があり、何百万ものお金を使ってやりたいことをする権利があります。彼女がどれほど不安定だとあなたが思っているかは気にしません。,0,1,ja,False,23,85
Newt Gingrich is demented; Cawthorn a mindless apostle.,Newt Gingrich's tenure as Speaker of the House is a good reflection of his political career as a whole.,1,0,en,False,55,103
"Avril lavigne es fea, no tiene talento.",y es bonita hasta sin maquillaje,1,0,es,False,39,32
お願いします、ミッチ・マコーネルは嫌な奴で裏切り者です。あのおっさんが何を考えているかなんて誰が気にするだろう。 😂,ミッチ・マコーネルは、購入してくれる裕福な寄付者に自分自身を売りに出した。,0,1,ja,False,58,37
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,彼はまさにワールドクラスの選手だ。,1,0,ja,False,37,17
